UNIX_time[sec],CP_ref_x,CP_ref_y,ZMP_des_x,ZMP_des_y,CoM_position_x,CoM_positon_y,CP_lip_x,CP_lip_y
1.57744e+09,6.91582e-310,6.91582e-310,0,0,0,0,0,0,
1.57744e+09,6.91582e-310,6.91582e-310,-1.22119e-309,-1.22119e-309,2.603e-314,1.04121e-313,0,0,
1.57744e+09,6.91582e-310,6.91582e-310,-1.22119e-309,-1.22119e-309,2.34277e-313,4.16502e-313,7.99947e-312,1.60513e-311,
1.57744e+09,6.91582e-310,6.91582e-310,-1.20706e-309,-1.19284e-309,6.50504e-313,9.35689e-313,2.41559e-311,3.23137e-311,
1.57744e+09,6.91582e-310,6.91582e-310,-1.17853e-309,-1.16413e-309,1.27146e-312,1.65722e-312,4.04323e-311,4.85109e-311,
1.57744e+09,6.91582e-310,6.91582e-310,-1.14979e-309,-1.13553e-309,2.09237e-312,2.57633e-312,5.65487e-311,6.45449e-311,
1.57744e+09,6.91582e-310,6.91582e-310,-1.12133e-309,-1.10722e-309,3.1085e-312,3.6883e-312,7.24995e-311,8.04127e-311,
1.57744e+09,6.91582e-310,6.91582e-310,-1.09317e-309,-1.0792e-309,4.31516e-312,4.98851e-312,8.82848e-311,9.6116e-311,
1.57744e+09,6.91582e-310,6.91582e-310,-1.0653e-309,-1.05147e-309,5.70779e-312,6.47243e-312,1.03907e-310,1.11657e-310,
1.57744e+09,6.91582e-310,6.91582e-310,-1.03771e-309,-1.02403e-309,7.28187e-312,8.13557e-312,1.19366e-310,1.27036e-310,
1.57744e+09,6.91582e-310,6.91582e-310,-1.01041e-309,-9.9687e-310,9.03299e-312,9.97357e-312,1.34666e-310,1.42256e-310,
1.57744e+09,6.91582e-310,6.91582e-310,-9.83397e-310,-9.69995e-310,1.09568e-311,1.19821e-311,1.49806e-310,1.57318e-310,
1.57744e+09,6.91582e-310,6.91582e-310,-9.56662e-310,-9.43398e-310,1.3049e-311,1.4157e-311,1.6479e-310,1.72223e-310,
1.57744e+09,6.91582e-310,6.91582e-310,-9.30204e-310,-9.17078e-310,1.53055e-311,1.6494e-311,1.79618e-310,1.86975e-310,
1.57744e+09,6.91582e-310,6.91582e-310,-9.0402e-310,-8.9103e-310,1.7722e-311,1.89891e-311,1.94293e-310,2.01573e-310,
